age,gender,interest_history,interest_mathematics,interest_physics,interest_computers,interest_economy,interest_medical,interest_law,interest_geography,interest_psychology,phobia_Flying,phobia_storm,phobia_darkness,phobia_heights,phobia_ageing,phobia_public_speaking
20.0,female,Strongly disagree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Strongly disagree,Neutral,Strongly agree,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid
19.0,female,Strongly disagree,Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree,Disagree,Agree,Neutral,Not afraid,Not afraid,Not afraid,Slightly afraid,afraid,Very afraid
20.0,female,Strongly disagree,Strongly agree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid
22.0,female,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Slightly afraid,Not afraid,Not afraid,afraid,Very afraid,Very much afraid
20.0,female,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Not afraid,Slightly afraid,Not afraid,Not afraid,Slightly afraid,afraid
20.0,male,Strongly agree,Disagree,Neutral,Agree,Strongly disagree,Agree,Neutral,Neutral,Neutral,afraid,Slightly afraid,Slightly afraid,Slightly afraid,Not afraid,afraid
20.0,female,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Not afraid,afraid,Slightly afraid,Not afraid,Very afraid,Not afraid
19.0,male,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Disagree,afraid,Slightly afraid,Very afraid,afraid,Not afraid,Very afraid
18.0,female,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Slightly afraid,afraid,Not afraid,Very much afraid,Slightly afraid,Very afraid
19.0,female,Neutral,Neutral,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Very afraid,Very much afraid,Very afraid,Very much afraid,afraid,afraid
19.0,female,Neutral,Disagree,Strongly disagree,Strongly agree,Neutral,Disagree,Agree,Neutral,Neutral,Not afraid,Not afraid,Slightly afraid,Slightly afraid,Not afraid,Slightly afraid
17.0,female,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Disagree,Very afraid,Not afraid,Not afraid,afraid,Very much afraid,Very much afraid
24.0,female,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Disagree,Neutral,Agree,Not afraid,Not afraid,Not afraid,Not afraid,Very much afraid,Slightly afraid
19.0,female,Disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Slightly afraid,afraid,afraid,Very afraid,Slightly afraid,afraid
22.0,female,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Very much afraid,Very much afraid,afraid,afraid,Very much afraid,afraid
18.0,male,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Disagree,Agree,Neutral,Strongly agree,Very much afraid,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid
19.0,female,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Not afraid,afraid,Very much afraid,Very afraid,Slightly afraid,Very afraid
20.0,female,Neutral,Strongly disagree,Neutral,Neutral,Strongly disagree,Neutral,Strongly disagree,Disagree,Disagree,afraid,Very much afraid,Very much afraid,Very much afraid,Very much afraid,afraid
18.0,male,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,Slightly afraid
18.0,male,Disagree,Neutral,Disagree,Strongly agree,Agree,Disagree,Strongly disagree,Agree,Neutral,afraid,Slightly afraid,Slightly afraid,Very afraid,Slightly afraid,afraid
20.0,male,Strongly agree,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Slightly afraid,Slightly afraid,Slightly afraid,Slightly afraid,Not afraid,Slightly afraid
24.0,male,Agree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Agree,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid,Not afraid
22.0,female,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Not afraid,Slightly afraid,Not afraid,Not afraid,Not afraid,afraid
20.0,female,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Slightly afraid,Very afraid,Very much afraid,afraid,afraid,afraid
19.0,female,Agree,Disagree,Strongly disagree,Agree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Not afraid,Not afraid,Slightly afraid,Not afraid,Very much afraid,Very much afraid
20.0,female,Disagree,Neutral,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Neutral,Disagree,Disagree,afraid,Slightly afraid,Slightly afraid,afraid,Very afraid,Slightly afraid
